ReqID,a(SrcNode),i(DesNode),k(Path),p(Ratio),dtTrans,tArrival,start,end,timeSer(PSO),t_wait,t_proc,t_serv,moved_data,t_trans_vr,t_end_real
1,V6,R1,R4,1.0,1.0,1.3939393939393943,2.9090909090909096,2.9090909090909096,4.05909090909091,2.543939393939395,0.0,1.1500000000000008,2.543939393939395,0.0,1.5151515151515154,
101,V9,R2,R2,1.0,1.0,0.0,1.7575757575757578,2.886363636363637,4.236363636363637,2.6000000000000005,1.1287878787878793,1.35,2.4787878787878794,0.0,1.7575757575757578,
201,V8,R2,R2,1.0,1.0,0.0,1.6363636363636367,1.6363636363636367,2.886363636363637,2.6000000000000005,0.0,1.2500000000000004,1.2500000000000004,0.0,1.6363636363636367,
2,V6,R1,R4,1.0,1.0,1.1881827176204784,3.497577556453078,4.05909090909091,5.039341651127805,3.3184334596573737,0.5615133526378324,0.9802507420368949,2.7299468122952057,0.0,1.3093948388325996,
102,V9,R2,R1,1.0,1.0,1.6363636363636365,4.3939393939393945,4.3939393939393945,5.743939393939395,2.9863636363636368,0.0,1.3500000000000005,2.986363636363637,0.0,1.7575757575757578,
202,V8,R2,R5,1.0,1.0,1.4808271209593529,4.082866363130827,4.082866363130827,5.304548737922293,2.702509495750819,0.0,1.2216823747914658,2.7025094957508187,0.0,1.6020392421714742,
3,V6,R1,R0,1.0,1.0,1.2213288251617327,4.563869771535586,4.563869771535586,5.571466052294015,2.2289251059201622,0.0,1.0075962807584293,2.228925105920162,0.0,1.342540946373854,
103,V9,R2,R5,1.0,1.0,1.6363636363636365,5.3939393939393945,6.61824456668977,7.96824456668977,5.521338672223797,1.224305172750375,1.3500000000000005,4.210668809114012,0.0,1.7575757575757578,
203,V8,R2,R5,1.0,1.0,1.5918698922044776,5.304951905621076,5.304951905621076,6.61824456668977,5.476844928064638,0.0,1.3132926610686937,2.905162553273171,0.0,1.7130820134165987,
4,V6,R1,R1,1.0,1.0,0.0,4.3939393939393945,5.743939393939395,6.793939393939396,2.400000000000001,1.3500000000000005,1.0500000000000007,2.4000000000000012,0.0,1.3939393939393945,
204,V8,R2,R2,1.0,1.0,0.0,4.515151515151516,4.515151515151516,5.665151515151516,2.386363636363638,0.0,1.1500000000000004,1.1500000000000004,0.0,1.5151515151515154,
5,V6,R1,R2,1.0,1.0,1.1913697967233352,6.5039517146587915,6.715151515151517,7.698031597448268,4.610613515383725,0.21119980049272513,0.9828800822967514,2.3854496795128117,0.0,1.3125819179354565,
205,V8,R2,R2,1.0,1.0,0.0,5.3939393939393945,5.665151515151516,6.715151515151517,3.4192437186603897,0.27121212121212146,1.0500000000000007,1.3212121212121222,0.0,1.3939393939393945,
6,V6,R4,R3,1.0,1.0,1.2727272727272732,7.666666666666668,7.666666666666668,8.716666666666669,2.3227272727272736,0.0,1.0500000000000007,2.322727272727274,0.0,1.3939393939393945,
206,V8,R2,R2,1.0,1.0,0.0,6.585059289534822,7.698031597448268,8.905705511314496,3.905705511314496,1.112972307913446,1.2076739138662278,2.3206462217796737,0.0,1.5850592895348217,
7,V6,R4,R4,1.0,1.0,0.0,7.3939393939393945,7.3939393939393945,8.443939393939395,1.0500000000000005,0.0,1.0500000000000007,1.0500000000000007,0.0,1.3939393939393945,
207,V8,R2,R1,1.0,1.0,1.2727272727272732,8.666666666666668,8.666666666666668,9.716666666666669,3.116666666666669,0.0,1.0500000000000007,2.322727272727274,0.0,1.3939393939393945,
8,V6,R4,R7,1.0,1.0,1.350525470344123,9.822263061900369,9.822263061900369,10.936446574934271,2.4647089833780242,0.0,1.1141835130339022,2.464708983378025,0.0,1.4717375915562443,
9,V6,R4,R4,1.0,1.0,0.0,9.624243226504996,9.624243226504996,10.864243888371618,1.6839400558060162,0.0,1.2400006618666222,1.2400006618666222,0.0,1.624243226504996,
10,V6,R5,R5,1.0,1.0,0.0,10.546787128891147,10.546787128891147,11.722886510226344,1.1760993813351972,0.0,1.176099381335197,1.176099381335197,0.0,1.5467871288911472,
11,V6,R5,R2,1.0,1.0,1.2727272727272732,12.666666666666668,12.666666666666668,13.716666666666669,2.3227272727272736,0.0,1.0500000000000007,2.322727272727274,0.0,1.3939393939393945,
12,V6,R5,R4,1.0,1.0,1.2727272727272732,13.666666666666668,13.666666666666668,14.716666666666669,2.3227272727272736,0.0,1.0500000000000007,2.322727272727274,0.0,1.3939393939393945,
13,V6,R5,R5,1.0,1.0,0.0,13.393939393939394,13.393939393939394,14.443939393939395,1.0500000000000005,0.0,1.0500000000000007,1.0500000000000007,0.0,1.3939393939393945,
14,V6,R5,R8,1.0,1.0,1.2727272727272732,15.666666666666668,15.666666666666668,16.71666666666667,2.3227272727272736,0.0,1.0500000000000007,2.322727272727274,0.0,1.3939393939393945,
15,V6,R5,R5,1.0,1.0,0.0,15.272727272727273,15.272727272727273,16.222727272727273,1.3939393939393958,0.0,0.9499999999999993,0.9499999999999993,0.0,1.2727272727272734,
16,V6,R5,R4,1.0,1.0,1.1925796231568864,17.506371367525894,17.506371367525894,18.490249556630324,2.176457812261318,0.0,0.9838781891044306,2.176457812261317,0.0,1.3137917443690075,
17,V6,R5,R5,1.0,1.0,0.0,17.37606614625574,17.37606614625574,18.411320716916727,1.25798184338826,0.0,1.0352545706609853,1.0352545706609853,0.0,1.376066146255741,
18,V6,R5,R8,1.0,1.0,1.2668972926277144,19.65500670646755,19.65500670646755,20.700196972885415,2.3120875590455787,0.0,1.0451902664178654,2.3120875590455796,0.0,1.3881094138398358,
