Name Position Velocity in56
id,	name,	x,	y,	velo,
0,	V0,	2.0,	2.0,	2.0
1,	V1,	13.0,	0.0,	3.0
2,	V2,	27.5,	2.5,	2.5
3,	V3,	32.5,	0.0,	2.5
4,	V4,	42.0,	2.0,	2.0
5,	V5,	20.0,	13.0,	2.5
6,	V6,	28.0,	12.0,	2.0
7,	V7,	43.0,	15.0,	3.0
8,	V8,	39.0,	7.0,	3.0
9,	V9,	40.0,	12.5,	2.5
10,	V10,	48.0,	36.0,	2.0
11,	V11,	32.0,	22.0,	2.0
12,	V12,	28.0,	18.0,	2.0
13,	V13,	30.0,	18.0,	2.0
14,	V14,	40.0,	20.0,	3.0
15,	V15,	4.0,	32.0,	2.0
16,	V16,	13.0,	30.0,	3.0
17,	V17,	22.5,	27.5,	2.5
18,	V18,	37.5,	30.0,	2.5
19,	V19,	43.0,	30.0,	3.0
20,	V20,	16.0,	38.0,	3.0
21,	V21,	30.0,	42.0,	2.0
22,	V22,	30.0,	42.0,	2.0
23,	V23,	30.0,	37.5,	2.5
24,	V24,	48.0,	42.0,	2.0
