Name Position Velocity in81
id,	name,	x,	y,	velo,
0,	V0,	46.0,	6.0,	2.0
1,	V1,	19.0,	3.0,	3.0
2,	V2,	20.0,	0.0,	2.5
3,	V3,	42.5,	8.0,	2.5
4,	V4,	48.0,	2.0,	2.0
5,	V5,	25.0,	13.0,	2.5
6,	V6,	30.0,	10.0,	2.0
7,	V7,	45.0,	8.0,	3.0
8,	V8,	36.0,	13.0,	3.0
9,	V9,	40.0,	7.5,	2.5
10,	V10,	40.0,	26.0,	2.0
11,	V11,	36.0,	22.0,	2.0
12,	V12,	42.0,	22.0,	2.0
13,	V13,	32.0,	22.0,	2.0
14,	V14,	46.0,	20.0,	3.0
15,	V15,	0.0,	30.0,	2.0
16,	V16,	32.0,	28.0,	3.0
17,	V17,	47.5,	30.5,	2.5
18,	V18,	30.0,	30.0,	2.5
19,	V19,	46.0,	33.0,	3.0
20,	V20,	19.0,	44.0,	3.0
21,	V21,	30.0,	46.0,	2.0
22,	V22,	44.0,	42.0,	2.0
23,	V23,	45.0,	40.5,	2.5
24,	V24,	40.0,	40.0,	2.0
