Name Position Velocity in58
id,	name,	x,	y,	velo,
0,	V0,	6.0,	2.0,	2.0
1,	V1,	19.0,	0.0,	3.0
2,	V2,	30.0,	3.0,	2.5
3,	V3,	37.5,	0.0,	2.5
4,	V4,	46.0,	2.0,	2.0
5,	V5,	25.0,	13.0,	2.5
6,	V6,	30.0,	12.0,	2.0
7,	V7,	49.0,	15.0,	3.0
8,	V8,	40.0,	5.0,	3.0
9,	V9,	45.0,	12.5,	2.5
10,	V10,	1.2246467991473532E-16,	18.0,	2.0
11,	V11,	36.0,	22.0,	2.0
12,	V12,	30.0,	18.0,	2.0
13,	V13,	34.0,	18.0,	2.0
14,	V14,	46.0,	20.0,	3.0
15,	V15,	8.0,	32.0,	2.0
16,	V16,	19.0,	30.0,	3.0
17,	V17,	27.5,	27.5,	2.5
18,	V18,	40.0,	30.5,	2.5
19,	V19,	49.0,	30.0,	3.0
20,	V20,	20.0,	39.0,	3.0
21,	V21,	32.0,	44.0,	2.0
22,	V22,	34.0,	42.0,	2.0
23,	V23,	35.0,	37.5,	2.5
24,	V24,	40.0,	42.0,	2.0
