Name Position Velocity in27
id,name,x,y,velo,
0,V0,10.0,5.5,2.5
1,V1,20.0,2.0,2.0
2,V2,36.0,7.0,3.0
3,V3,33.0,0.0,3.0
4,V4,48.0,0.0,2.0
5,V5,10.0,13.0,2.5
6,V6,22.0,12.0,2.0
7,V7,40.0,18.0,2.0
8,V8,30.0,12.5,2.5
9,V9,40.0,10.0,2.0
10,V10,13.0,15.0,3.0
11,V11,37.0,17.0,3.0
12,V12,20.0,20.0,3.0
13,V13,32.5,20.0,2.5
14,V14,40.0,20.0,2.5
15,V15,48.0,38.0,2.0
16,V16,30.0,33.0,2.5
17,V17,40.0,28.0,2.0
18,V18,39.0,27.0,3.0
19,V19,47.5,32.5,2.5
20,V20,0.0,40.0,2.0
21,V21,18.0,38.0,2.0
22,V22,27.5,42.5,2.5
23,V23,47.5,38.0,2.5
24,V24,48.0,38.0,2.0
