Name Position Velocity in77
id,	name,	x,	y,	velo,
0,	V0,	40.0,	8.0,	2.0
1,	V1,	10.0,	0.0,	3.0
2,	V2,	40.0,	6.0,	2.5
3,	V3,	35.0,	2.5,	2.5
4,	V4,	40.0,	2.0,	2.0
5,	V5,	17.5,	12.5,	2.5
6,	V6,	22.0,	8.0,	2.0
7,	V7,	33.0,	8.0,	3.0
8,	V8,	48.0,	10.0,	3.0
9,	V9,	42.5,	7.5,	2.5
10,	V10,	34.0,	22.0,	2.0
11,	V11,	28.0,	22.0,	2.0
12,	V12,	34.0,	22.0,	2.0
13,	V13,	46.0,	26.0,	2.0
14,	V14,	46.0,	17.0,	3.0
15,	V15,	42.0,	40.0,	2.0
16,	V16,	20.0,	28.0,	3.0
17,	V17,	37.5,	30.5,	2.5
18,	V18,	40.0,	30.5,	2.5
19,	V19,	49.0,	27.0,	3.0
20,	V20,	10.0,	41.0,	3.0
21,	V21,	24.0,	42.0,	2.0
22,	V22,	38.0,	38.0,	2.0
23,	V23,	37.5,	40.0,	2.5
24,	V24,	42.0,	42.0,	2.0
