Name Position Velocity in57
id,	name,	x,	y,	velo,
0,	V0,	4.0,	2.0,	2.0
1,	V1,	16.0,	0.0,	3.0
2,	V2,	30.0,	5.5,	2.5
3,	V3,	35.0,	0.0,	2.5
4,	V4,	44.0,	2.0,	2.0
5,	V5,	22.5,	13.0,	2.5
6,	V6,	30.0,	14.0,	2.0
7,	V7,	46.0,	15.0,	3.0
8,	V8,	40.0,	8.0,	3.0
9,	V9,	42.5,	12.5,	2.5
10,	V10,	0.0,	20.0,	2.0
11,	V11,	34.0,	22.0,	2.0
12,	V12,	30.0,	20.0,	2.0
13,	V13,	32.0,	18.0,	2.0
14,	V14,	43.0,	20.0,	3.0
15,	V15,	6.0,	32.0,	2.0
16,	V16,	16.0,	30.0,	3.0
17,	V17,	25.0,	27.5,	2.5
18,	V18,	40.0,	33.0,	2.5
19,	V19,	46.0,	30.0,	3.0
20,	V20,	19.0,	38.0,	3.0
21,	V21,	30.0,	44.0,	2.0
22,	V22,	32.0,	42.0,	2.0
23,	V23,	32.5,	37.5,	2.5
24,	V24,	40.0,	40.0,	2.0
