Name Position Velocity in63
id,	name,	x,	y,	velo,
0,	V0,	14.0,	2.0,	2.0
1,	V1,	19.0,	0.0,	3.0
2,	V2,	42.5,	3.0,	2.5
3,	V3,	47.5,	0.5,	2.5
4,	V4,	46.0,	0.0,	2.0
5,	V5,	37.5,	13.0,	2.5
6,	V6,	40.0,	14.0,	2.0
7,	V7,	30.0,	11.0,	3.0
8,	V8,	33.0,	10.0,	3.0
9,	V9,	45.0,	12.5,	2.5
10,	V10,	10.0,	20.0,	2.0
11,	V11,	44.0,	26.0,	2.0
12,	V12,	40.0,	18.0,	2.0
13,	V13,	42.0,	22.0,	2.0
14,	V14,	46.0,	23.0,	3.0
15,	V15,	16.0,	36.0,	2.0
16,	V16,	30.0,	29.0,	3.0
17,	V17,	37.5,	28.0,	2.5
18,	V18,	30.0,	27.5,	2.5
19,	V19,	49.0,	27.0,	3.0
20,	V20,	30.0,	43.0,	3.0
21,	V21,	40.0,	48.0,	2.0
22,	V22,	42.0,	42.0,	2.0
23,	V23,	45.0,	38.0,	2.5
24,	V24,	40.0,	40.0,	2.0
