Name Position Velocity in43
id,name,x,y,velo,
0,V0,42.5,14.0,2.5
1,V1,10.0,0.0,2.0
2,V2,39.0,4.0,3.0
3,V3,30.0,0.0,3.0
4,V4,46.0,0.0,2.0
5,V5,42.5,21.5,2.5
6,V6,10.0,10.0,2.0
7,V7,40.0,10.0,2.0
8,V8,45.0,13.0,2.5
9,V9,46.0,8.0,2.0
10,V10,0.0,20.0,3.0
11,V11,30.0,25.0,3.0
12,V12,20.0,17.0,3.0
13,V13,47.5,22.5,2.5
14,V14,42.5,17.5,2.5
15,V15,28.0,32.0,2.0
16,V16,25.0,30.5,2.5
17,V17,38.0,32.0,2.0
18,V18,36.0,30.0,3.0
19,V19,40.0,27.5,2.5
20,V20,26.0,42.0,2.0
21,V21,46.0,42.0,2.0
22,V22,30.0,43.0,2.5
23,V23,45.0,45.5,2.5
24,V24,46.0,38.0,2.0
