Name Position Velocity in49
id,name,x,y,velo,
0,V0,5.0,2.5,2.5
1,V1,20.0,4.0,2.0
2,V2,20.0,0.0,3.0
3,V3,30.0,0.0,3.0
4,V4,46.0,0.0,2.0
5,V5,5.0,7.5,2.5
6,V6,20.0,12.0,2.0
7,V7,20.0,8.0,2.0
8,V8,37.5,12.5,2.5
9,V9,46.0,8.0,2.0
10,V10,13.0,24.0,3.0
11,V11,48.0,25.0,3.0
12,V12,33.0,21.0,3.0
13,V13,42.5,20.0,2.5
14,V14,47.5,20.0,2.5
15,V15,40.0,34.0,2.0
16,V16,40.0,33.5,2.5
17,V17,20.0,30.0,2.0
18,V18,49.0,28.0,3.0
19,V19,45.0,30.0,2.5
20,V20,38.0,42.0,2.0
21,V21,16.0,42.0,2.0
22,V22,42.5,48.5,2.5
23,V23,37.5,42.5,2.5
24,V24,48.0,40.0,2.0
