Name Position Velocity in34
id,name,x,y,velo,
0,V0,22.5,8.5,2.5
1,V1,32.0,6.0,2.0
2,V2,20.0,0.0,3.0
3,V3,30.0,3.0,3.0
4,V4,40.0,0.0,2.0
5,V5,22.5,16.0,2.5
6,V6,34.0,16.0,2.0
7,V7,22.0,10.0,2.0
8,V8,47.5,12.5,2.5
9,V9,40.0,12.0,2.0
10,V10,29.0,19.0,3.0
11,V11,13.0,23.0,3.0
12,V12,33.0,27.0,3.0
13,V13,47.5,25.5,2.5
14,V14,45.0,17.5,2.5
15,V15,10.0,32.0,2.0
16,V16,45.0,33.5,2.5
17,V17,22.0,32.0,2.0
18,V18,30.0,27.0,3.0
19,V19,42.5,30.0,2.5
20,V20,10.0,42.0,2.0
21,V21,30.0,42.0,2.0
22,V22,42.5,43.0,2.5
23,V23,45.0,40.0,2.5
24,V24,40.0,38.0,2.0
