Name Position Velocity in35
id,name,x,y,velo,
0,V0,25.0,8.5,2.5
1,V1,34.0,6.0,2.0
2,V2,20.0,0.0,3.0
3,V3,33.0,3.0,3.0
4,V4,42.0,0.0,2.0
5,V5,25.0,16.0,2.5
6,V6,36.0,16.0,2.0
7,V7,24.0,10.0,2.0
8,V8,30.0,10.0,2.5
9,V9,42.0,12.0,2.0
10,V10,32.0,19.0,3.0
11,V11,16.0,23.0,3.0
12,V12,36.0,27.0,3.0
13,V13,30.0,20.0,2.5
14,V14,47.5,17.5,2.5
15,V15,12.0,32.0,2.0
16,V16,47.5,33.5,2.5
17,V17,24.0,32.0,2.0
18,V18,33.0,27.0,3.0
19,V19,45.0,30.0,2.5
20,V20,12.0,42.0,2.0
21,V21,32.0,42.0,2.0
22,V22,45.0,43.0,2.5
23,V23,47.5,40.0,2.5
24,V24,42.0,38.0,2.0
