Name Position Velocity in113
id,	name,	x,	y,	velo,
0,	V0,	0.0,	0.0,	2.0
1,	V1,	29.0,	4.0,	3.0
2,	V2,	30.0,	0.5,	2.5
3,	V3,	30.0,	0.0,	2.5
4,	V4,	44.0,	0.0,	2.0
5,	V5,	40.0,	29.0,	2.5
6,	V6,	46.0,	12.0,	2.0
7,	V7,	26.0,	7.0,	3.0
8,	V8,	46.0,	17.0,	3.0
9,	V9,	47.5,	7.5,	2.5
10,	V10,	0.0,	20.0,	2.0
11,	V11,	10.0,	18.0,	2.0
12,	V12,	44.0,	20.0,	2.0
13,	V13,	48.0,	22.0,	2.0
14,	V14,	43.0,	23.0,	3.0
15,	V15,	8.0,	30.0,	2.0
16,	V16,	29.0,	28.0,	3.0
17,	V17,	30.0,	30.5,	2.5
18,	V18,	42.5,	35.5,	2.5
19,	V19,	43.0,	27.0,	3.0
20,	V20,	3.0,	43.0,	3.0
21,	V21,	16.0,	38.0,	2.0
22,	V22,	40.0,	44.0,	2.0
23,	V23,	37.5,	40.0,	2.5
24,	V24,	46.0,	42.0,	2.0
