Name Position Velocity in32
id,name,x,y,velo,
0,V0,20.0,6.0,2.5
1,V1,30.0,4.0,2.0
2,V2,46.0,11.0,3.0
3,V3,48.0,0.0,3.0
4,V4,48.0,0.0,2.0
5,V5,20.0,18.5,2.5
6,V6,30.0,16.0,2.0
7,V7,48.0,20.0,2.0
8,V8,42.5,12.5,2.5
9,V9,48.0,8.0,2.0
10,V10,23.0,19.0,3.0
11,V11,10.0,20.0,3.0
12,V12,30.0,24.0,3.0
13,V13,42.5,25.5,2.5
14,V14,40.0,17.5,2.5
15,V15,6.0,32.0,2.0
16,V16,40.0,33.5,2.5
17,V17,20.0,30.0,2.0
18,V18,49.0,31.0,3.0
19,V19,47.5,32.5,2.5
20,V20,8.0,42.0,2.0
21,V21,26.0,42.0,2.0
22,V22,40.0,45.5,2.5
23,V23,40.0,40.0,2.5
24,V24,48.0,40.0,2.0
