Name Position Velocity in100
id,	name,	x,	y,	velo,
0,	V0,	30.0,	2.0,	2.0
1,	V1,	19.0,	0.0,	3.0
2,	V2,	30.0,	2.5,	2.5
3,	V3,	42.5,	2.5,	2.5
4,	V4,	40.0,	2.0,	2.0
5,	V5,	12.5,	18.0,	2.5
6,	V6,	20.0,	12.0,	2.0
7,	V7,	30.0,	8.0,	3.0
8,	V8,	40.0,	11.0,	3.0
9,	V9,	40.0,	10.0,	2.5
10,	V10,	28.0,	20.0,	2.0
11,	V11,	30.0,	26.0,	2.0
12,	V12,	48.0,	22.0,	2.0
13,	V13,	46.0,	22.0,	2.0
14,	V14,	49.0,	17.0,	3.0
15,	V15,	32.0,	34.0,	2.0
16,	V16,	40.0,	33.0,	3.0
17,	V17,	30.0,	30.5,	2.5
18,	V18,	35.0,	30.0,	2.5
19,	V19,	49.0,	30.0,	3.0
20,	V20,	27.0,	37.0,	3.0
21,	V21,	32.0,	44.0,	2.0
22,	V22,	48.0,	46.0,	2.0
23,	V23,	47.5,	42.5,	2.5
24,	V24,	44.0,	38.0,	2.0
