Name Position Velocity in92
id,	name,	x,	y,	velo,
0,	V0,	16.0,	0.0,	2.0
1,	V1,	40.0,	6.0,	3.0
2,	V2,	42.5,	0.5,	2.5
3,	V3,	45.0,	3.0,	2.5
4,	V4,	46.0,	2.0,	2.0
5,	V5,	47.5,	19.0,	2.5
6,	V6,	48.0,	12.0,	2.0
7,	V7,	43.0,	9.0,	3.0
8,	V8,	39.0,	13.0,	3.0
9,	V9,	42.5,	7.5,	2.5
10,	V10,	12.0,	20.0,	2.0
11,	V11,	16.0,	20.0,	2.0
12,	V12,	32.0,	22.0,	2.0
13,	V13,	30.0,	22.0,	2.0
14,	V14,	40.0,	20.0,	3.0
15,	V15,	20.0,	36.0,	2.0
16,	V16,	20.0,	34.0,	3.0
17,	V17,	42.5,	35.5,	2.5
18,	V18,	35.0,	27.5,	2.5
19,	V19,	40.0,	30.0,	3.0
20,	V20,	3.0,	37.0,	3.0
21,	V21,	20.0,	42.0,	2.0
22,	V22,	34.0,	42.0,	2.0
23,	V23,	30.0,	40.0,	2.5
24,	V24,	40.0,	40.0,	2.0
