Name Position Velocity in106
id,	name,	x,	y,	velo,
0,	V0,	40.0,	2.0,	2.0
1,	V1,	13.0,	0.0,	3.0
2,	V2,	45.0,	2.5,	2.5
3,	V3,	35.0,	0.0,	2.5
4,	V4,	40.0,	2.0,	2.0
5,	V5,	25.0,	23.5,	2.5
6,	V6,	32.0,	12.0,	2.0
7,	V7,	40.0,	9.0,	3.0
8,	V8,	30.0,	13.0,	3.0
9,	V9,	42.5,	7.5,	2.5
10,	V10,	38.0,	24.0,	2.0
11,	V11,	40.0,	30.0,	2.0
12,	V12,	30.0,	20.0,	2.0
13,	V13,	36.0,	22.0,	2.0
14,	V14,	40.0,	20.0,	3.0
15,	V15,	44.0,	34.0,	2.0
16,	V16,	13.0,	30.0,	3.0
17,	V17,	45.0,	30.5,	2.5
18,	V18,	47.5,	30.5,	2.5
19,	V19,	40.0,	30.0,	3.0
20,	V20,	40.0,	44.0,	3.0
21,	V21,	44.0,	44.0,	2.0
22,	V22,	28.0,	42.0,	2.0
23,	V23,	40.0,	40.5,	2.5
24,	V24,	44.0,	38.0,	2.0
