Name Position Velocity in136
id,	name,	x,	y,	velo,
0,	V0,	44.0,	4.0,	2.0
1,	V1,	40.0,	6.0,	3.0
2,	V2,	20.0,	2.5,	2.5
3,	V3,	35.0,	0.0,	2.5
4,	V4,	46.0,	0.0,	2.0
5,	V5,	40.0,	13.5,	2.5
6,	V6,	46.0,	14.0,	2.0
7,	V7,	40.0,	9.0,	3.0
8,	V8,	42.0,	10.0,	3.0
9,	V9,	40.0,	10.0,	2.5
10,	V10,	42.0,	24.0,	2.0
11,	V11,	10.0,	18.0,	2.0
12,	V12,	26.0,	22.0,	2.0
13,	V13,	30.0,	20.0,	2.0
14,	V14,	40.0,	17.0,	3.0
15,	V15,	0.0,	30.0,	2.0
16,	V16,	44.0,	31.0,	3.0
17,	V17,	47.5,	33.5,	2.5
18,	V18,	30.0,	27.5,	2.5
19,	V19,	43.0,	30.0,	3.0
20,	V20,	0.0,	40.0,	3.0
21,	V21,	14.0,	38.0,	2.0
22,	V22,	20.0,	40.0,	2.0
23,	V23,	45.0,	40.5,	2.5
24,	V24,	46.0,	42.0,	2.0
