Name Position Velocity in54
id,	name,	x,	y,	velo,
0,	V0,	0.0,	0.0,	2.0
1,	V1,	49.0,	0.0,	3.0
2,	V2,	22.5,	2.5,	2.5
3,	V3,	47.5,	5.5,	2.5
4,	V4,	40.0,	0.0,	2.0
5,	V5,	17.5,	12.5,	2.5
6,	V6,	24.0,	12.0,	2.0
7,	V7,	40.0,	12.0,	3.0
8,	V8,	33.0,	7.0,	3.0
9,	V9,	47.5,	7.5,	2.5
10,	V10,	44.0,	36.0,	2.0
11,	V11,	28.0,	22.0,	2.0
12,	V12,	24.0,	18.0,	2.0
13,	V13,	48.0,	24.0,	2.0
14,	V14,	46.0,	17.0,	3.0
15,	V15,	1.2246467991473532E-16,	32.0,	2.0
16,	V16,	49.0,	39.0,	3.0
17,	V17,	20.0,	30.0,	2.5
18,	V18,	32.5,	30.0,	2.5
19,	V19,	49.0,	27.0,	3.0
20,	V20,	10.0,	38.0,	3.0
21,	V21,	26.0,	40.0,	2.0
22,	V22,	26.0,	42.0,	2.0
23,	V23,	47.5,	40.5,	2.5
24,	V24,	44.0,	42.0,	2.0
