Name Position Velocity in93
id,	name,	x,	y,	velo,
0,	V0,	18.0,	0.0,	2.0
1,	V1,	40.0,	3.0,	3.0
2,	V2,	45.0,	0.5,	2.5
3,	V3,	47.5,	3.0,	2.5
4,	V4,	48.0,	2.0,	2.0
5,	V5,	0.0,	10.0,	2.5
6,	V6,	10.0,	10.0,	2.0
7,	V7,	46.0,	9.0,	3.0
8,	V8,	42.0,	13.0,	3.0
9,	V9,	45.0,	7.5,	2.5
10,	V10,	14.0,	20.0,	2.0
11,	V11,	18.0,	20.0,	2.0
12,	V12,	34.0,	22.0,	2.0
13,	V13,	32.0,	22.0,	2.0
14,	V14,	43.0,	20.0,	3.0
15,	V15,	20.0,	34.0,	2.0
16,	V16,	20.0,	31.0,	3.0
17,	V17,	45.0,	35.5,	2.5
18,	V18,	37.5,	27.5,	2.5
19,	V19,	40.0,	27.0,	3.0
20,	V20,	6.0,	37.0,	3.0
21,	V21,	20.0,	40.0,	2.0
22,	V22,	36.0,	42.0,	2.0
23,	V23,	30.0,	42.5,	2.5
24,	V24,	42.0,	40.0,	2.0
