Name Position Velocity in105
id,	name,	x,	y,	velo,
0,	V0,	38.0,	0.0,	2.0
1,	V1,	10.0,	0.0,	3.0
2,	V2,	42.5,	2.5,	2.5
3,	V3,	32.5,	0.0,	2.5
4,	V4,	40.0,	0.0,	2.0
5,	V5,	22.5,	23.5,	2.5
6,	V6,	30.0,	12.0,	2.0
7,	V7,	40.0,	6.0,	3.0
8,	V8,	30.0,	10.0,	3.0
9,	V9,	40.0,	7.5,	2.5
10,	V10,	36.0,	24.0,	2.0
11,	V11,	38.0,	28.0,	2.0
12,	V12,	28.0,	20.0,	2.0
13,	V13,	34.0,	22.0,	2.0
14,	V14,	49.0,	23.0,	3.0
15,	V15,	42.0,	34.0,	2.0
16,	V16,	10.0,	30.0,	3.0
17,	V17,	42.5,	30.5,	2.5
18,	V18,	45.0,	30.5,	2.5
19,	V19,	49.0,	33.0,	3.0
20,	V20,	39.0,	43.0,	3.0
21,	V21,	42.0,	44.0,	2.0
22,	V22,	26.0,	42.0,	2.0
23,	V23,	40.0,	43.0,	2.5
24,	V24,	42.0,	38.0,	2.0
