Name Position Velocity in30
id,name,x,y,velo,
0,V0,15.0,3.0,2.5
1,V1,26.0,2.0,2.0
2,V2,40.0,11.0,3.0
3,V3,42.0,0.0,3.0
4,V4,44.0,0.0,2.0
5,V5,15.0,15.5,2.5
6,V6,28.0,12.0,2.0
7,V7,44.0,20.0,2.0
8,V8,37.5,12.5,2.5
9,V9,44.0,8.0,2.0
10,V10,20.0,16.0,3.0
11,V11,46.0,17.0,3.0
12,V12,26.0,23.0,3.0
13,V13,40.0,23.0,2.5
14,V14,47.5,20.0,2.5
15,V15,2.0,32.0,2.0
16,V16,37.5,33.0,2.5
17,V17,46.0,28.0,2.0
18,V18,43.0,31.0,3.0
19,V19,42.5,32.5,2.5
20,V20,4.0,42.0,2.0
21,V21,22.0,42.0,2.0
22,V22,35.0,42.5,2.5
23,V23,35.0,40.0,2.5
24,V24,44.0,40.0,2.0
