Name Position Velocity in129
id,	name,	x,	y,	velo,
0,	V0,	30.0,	4.0,	2.0
1,	V1,	25.0,	0.0,	3.0
2,	V2,	35.0,	8.0,	2.5
3,	V3,	40.0,	8.0,	2.5
4,	V4,	42.0,	0.0,	2.0
5,	V5,	22.5,	13.5,	2.5
6,	V6,	34.0,	10.0,	2.0
7,	V7,	29.0,	7.0,	3.0
8,	V8,	43.0,	8.0,	3.0
9,	V9,	42.5,	10.0,	2.5
10,	V10,	28.0,	24.0,	2.0
11,	V11,	40.0,	24.0,	2.0
12,	V12,	44.0,	18.0,	2.0
13,	V13,	36.0,	22.0,	2.0
14,	V14,	49.0,	17.0,	3.0
15,	V15,	38.0,	30.0,	2.0
16,	V16,	23.0,	31.0,	3.0
17,	V17,	32.5,	33.0,	2.5
18,	V18,	37.5,	32.5,	2.5
19,	V19,	49.0,	33.0,	3.0
20,	V20,	36.0,	37.0,	3.0
21,	V21,	42.0,	42.0,	2.0
22,	V22,	36.0,	42.0,	2.0
23,	V23,	30.0,	40.0,	2.5
24,	V24,	44.0,	42.0,	2.0
