Name Position Velocity in109
id,	name,	x,	y,	velo,
0,	V0,	44.0,	4.0,	2.0
1,	V1,	20.0,	1.0,	3.0
2,	V2,	22.5,	0.0,	2.5
3,	V3,	40.0,	0.5,	2.5
4,	V4,	46.0,	2.0,	2.0
5,	V5,	32.5,	23.5,	2.5
6,	V6,	38.0,	12.0,	2.0
7,	V7,	49.0,	9.0,	3.0
8,	V8,	39.0,	13.0,	3.0
9,	V9,	40.0,	10.0,	2.5
10,	V10,	42.0,	28.0,	2.0
11,	V11,	44.0,	32.0,	2.0
12,	V12,	36.0,	20.0,	2.0
13,	V13,	40.0,	22.0,	2.0
14,	V14,	46.0,	17.0,	3.0
15,	V15,	0.0,	30.0,	2.0
16,	V16,	20.0,	31.0,	3.0
17,	V17,	20.0,	27.5,	2.5
18,	V18,	35.0,	30.0,	2.5
19,	V19,	46.0,	27.0,	3.0
20,	V20,	46.0,	47.0,	3.0
21,	V21,	10.0,	40.0,	2.0
22,	V22,	32.0,	42.0,	2.0
23,	V23,	47.5,	40.5,	2.5
24,	V24,	40.0,	40.0,	2.0
