Name Position Velocity in95
id,	name,	x,	y,	velo,
0,	V0,	20.0,	0.0,	2.0
1,	V1,	46.0,	3.0,	3.0
2,	V2,	20.0,	0.0,	2.5
3,	V3,	30.0,	2.5,	2.5
4,	V4,	42.0,	0.0,	2.0
5,	V5,	2.5,	12.5,	2.5
6,	V6,	12.0,	12.0,	2.0
7,	V7,	20.0,	10.0,	3.0
8,	V8,	48.0,	13.0,	3.0
9,	V9,	40.0,	10.0,	2.5
10,	V10,	18.0,	20.0,	2.0
11,	V11,	20.0,	24.0,	2.0
12,	V12,	38.0,	22.0,	2.0
13,	V13,	36.0,	22.0,	2.0
14,	V14,	49.0,	20.0,	3.0
15,	V15,	24.0,	34.0,	2.0
16,	V16,	26.0,	31.0,	3.0
17,	V17,	20.0,	30.0,	2.5
18,	V18,	42.5,	27.5,	2.5
19,	V19,	46.0,	27.0,	3.0
20,	V20,	12.0,	37.0,	3.0
21,	V21,	24.0,	40.0,	2.0
22,	V22,	40.0,	44.0,	2.0
23,	V23,	35.0,	42.5,	2.5
24,	V24,	46.0,	40.0,	2.0
