Name Position Velocity in23
id,name,x,y,velo,
0,V0,1.5308084989341916E-16,2.5,2.5
1,V1,12.0,2.0,2.0
2,V2,29.0,3.0,3.0
3,V3,45.0,0.0,3.0
4,V4,40.0,0.0,2.0
5,V5,0.0,10.0,2.5
6,V6,14.0,12.0,2.0
7,V7,32.0,16.0,2.0
8,V8,42.5,10.0,2.5
9,V9,42.0,12.0,2.0
10,V10,6.0,17.0,3.0
11,V11,25.0,17.0,3.0
12,V12,40.0,31.0,3.0
13,V13,42.5,20.0,2.5
14,V14,40.0,22.5,2.5
15,V15,40.0,38.0,2.0
16,V16,22.5,32.5,2.5
17,V17,34.0,28.0,2.0
18,V18,30.0,30.0,3.0
19,V19,40.0,30.0,2.5
20,V20,42.0,40.0,2.0
21,V21,10.0,38.0,2.0
22,V22,20.0,40.0,2.5
23,V23,40.0,40.5,2.5
24,V24,40.0,38.0,2.0
