Name Position Velocity in59
id,	name,	x,	y,	velo,
0,	V0,	8.0,	2.0,	2.0
1,	V1,	20.0,	1.0,	3.0
2,	V2,	32.5,	3.0,	2.5
3,	V3,	40.0,	3.0,	2.5
4,	V4,	48.0,	2.0,	2.0
5,	V5,	27.5,	13.0,	2.5
6,	V6,	32.0,	12.0,	2.0
7,	V7,	20.0,	10.0,	3.0
8,	V8,	43.0,	5.0,	3.0
9,	V9,	47.5,	12.5,	2.5
10,	V10,	2.0,	18.0,	2.0
11,	V11,	38.0,	22.0,	2.0
12,	V12,	32.0,	18.0,	2.0
13,	V13,	36.0,	18.0,	2.0
14,	V14,	49.0,	20.0,	3.0
15,	V15,	10.0,	34.0,	2.0
16,	V16,	22.0,	30.0,	3.0
17,	V17,	30.0,	30.5,	2.5
18,	V18,	42.5,	30.5,	2.5
19,	V19,	40.0,	30.0,	3.0
20,	V20,	20.0,	42.0,	3.0
21,	V21,	34.0,	44.0,	2.0
22,	V22,	36.0,	42.0,	2.0
23,	V23,	37.5,	37.5,	2.5
24,	V24,	42.0,	42.0,	2.0
