Name Position Velocity in47
id,name,x,y,velo,
0,V0,1.5308084989341916E-16,2.5,2.5
1,V1,16.0,2.0,2.0
2,V2,46.0,2.0,3.0
3,V3,39.0,0.0,3.0
4,V4,42.0,0.0,2.0
5,V5,1.5308084989341916E-16,7.5,2.5
6,V6,16.0,12.0,2.0
7,V7,48.0,10.0,2.0
8,V8,32.5,12.5,2.5
9,V9,42.0,8.0,2.0
10,V10,10.0,21.0,3.0
11,V11,42.0,25.0,3.0
12,V12,30.0,18.0,3.0
13,V13,37.5,20.0,2.5
14,V14,42.5,20.0,2.5
15,V15,36.0,32.0,2.0
16,V16,35.0,30.5,2.5
17,V17,46.0,32.0,2.0
18,V18,43.0,28.0,3.0
19,V19,40.0,30.0,2.5
20,V20,34.0,42.0,2.0
21,V21,12.0,42.0,2.0
22,V22,40.0,46.0,2.5
23,V23,32.5,42.5,2.5
24,V24,44.0,40.0,2.0
