Name Position Velocity in65
id,	name,	x,	y,	velo,
0,	V0,	18.0,	2.0,	2.0
1,	V1,	20.0,	4.0,	3.0
2,	V2,	47.5,	3.0,	2.5
3,	V3,	30.0,	2.5,	2.5
4,	V4,	40.0,	0.0,	2.0
5,	V5,	40.0,	18.5,	2.5
6,	V6,	42.0,	16.0,	2.0
7,	V7,	33.0,	8.0,	3.0
8,	V8,	39.0,	10.0,	3.0
9,	V9,	40.0,	10.0,	2.5
10,	V10,	12.0,	22.0,	2.0
11,	V11,	48.0,	26.0,	2.0
12,	V12,	44.0,	18.0,	2.0
13,	V13,	46.0,	22.0,	2.0
14,	V14,	40.0,	20.0,	3.0
15,	V15,	20.0,	36.0,	2.0
16,	V16,	36.0,	29.0,	3.0
17,	V17,	40.0,	28.5,	2.5
18,	V18,	35.0,	27.5,	2.5
19,	V19,	40.0,	27.0,	3.0
20,	V20,	33.0,	40.0,	3.0
21,	V21,	44.0,	48.0,	2.0
22,	V22,	46.0,	42.0,	2.0
23,	V23,	30.0,	40.0,	2.5
24,	V24,	42.0,	42.0,	2.0
