Name Position Velocity in40
id,name,x,y,velo,
0,V0,37.5,8.5,2.5
1,V1,44.0,6.0,2.0
2,V2,30.0,4.0,3.0
3,V3,43.0,7.0,3.0
4,V4,40.0,0.0,2.0
5,V5,37.5,16.0,2.5
6,V6,44.0,16.0,2.0
7,V7,34.0,10.0,2.0
8,V8,40.0,10.5,2.5
9,V9,40.0,8.0,2.0
10,V10,43.0,24.0,3.0
11,V11,26.0,27.0,3.0
12,V12,46.0,25.0,3.0
13,V13,40.0,22.5,2.5
14,V14,47.5,17.5,2.5
15,V15,22.0,32.0,2.0
16,V16,20.0,33.0,2.5
17,V17,32.0,32.0,2.0
18,V18,48.0,27.0,3.0
19,V19,45.0,32.5,2.5
20,V20,20.0,42.0,2.0
21,V21,40.0,42.0,2.0
22,V22,25.0,37.5,2.5
23,V23,40.0,43.0,2.5
24,V24,40.0,38.0,2.0
